frequency, n1, n2, n3, n4, n5, n6 
1, 14,15,21,41,60,63
1, 34,53,77,78,83,89
1, 3,15,48,74,76,81
1, 28,44,49,57,64,89
1, 3,15,23,40,51,60
1, 19,39,43,48,62,76
1, 10,19,24,29,42,67
1, 11,13,17,49,51,61
1, 31,39,51,84,86,89
1, 15,31,62,68,72,73
1, 18,33,61,70,81,90
1, 4,11,14,17,25,32
1, 9,31,39,44,72,81
1, 18,36,62,63,76,80
1, 29,43,61,62,77,79
1, 8,9,17,37,49,86
1, 11,54,64,70,73,77
1, 5,6,9,51,62,66
1, 11,37,39,52,68,90
1, 40,41,51,62,66,80
1, 22,31,45,68,84,88
1, 20,48,57,65,71,90
1, 24,51,64,69,71,77
1, 3,28,38,43,73,75
1, 1,19,23,50,74,77
1, 32,39,52,56,69,85
1, 30,31,33,44,77,89
1, 5,31,62,63,68,78
1, 1,29,37,67,74,81
1, 1,19,29,60,76,77
1, 40,41,49,56,61,63
1, 27,35,47,57,85,89
1, 2,13,31,37,38,82
1, 46,54,65,70,82,85
1, 44,48,49,68,86,87
1, 8,23,30,53,69,78
1, 3,4,39,43,56,81
1, 13,22,44,74,77,87
1, 6,20,43,44,46,67
1, 24,32,44,60,64,76
1, 11,26,30,34,43,73
1, 12,25,66,72,75,89
1, 32,41,45,47,78,90
1, 1,16,25,33,54,71
1, 12,15,40,50,66,88
1, 12,22,27,43,60,72
1, 20,25,37,45,49,63
1, 3,4,31,52,66,84
1, 12,34,39,52,61,83
1, 7,8,47,56,79,90
1, 4,26,40,54,55,67
1, 2,11,22,25,60,78
1, 16,19,48,51,65,85
1, 24,50,58,69,87,88
1, 11,12,44,57,77,89
1, 1,23,32,53,66,83
1, 22,25,46,52,54,65
1, 2,24,51,55,62,81
1, 13,24,29,37,55,67
1, 8,54,59,66,86,89
1, 19,22,26,59,61,71
1, 7,12,14,16,24,45
1, 10,33,34,44,70,79
1, 10,41,59,61,65,71
1, 2,15,39,57,62,73
1, 29,36,37,40,70,75
1, 4,16,31,54,70,87
1, 3,4,18,29,64,90
1, 3,9,33,61,65,85
1, 13,22,43,50,70,76
1, 14,31,35,40,50,66
1, 1,30,36,37,60,88
1, 22,36,40,44,46,76
1, 45,49,63,67,82,90
1, 1,35,51,56,68,79
1, 4,8,12,17,19,80
1, 50,62,70,75,82,90
1, 21,23,25,65,67,78
1, 12,13,17,38,74,87
1, 3,11,26,36,45,75
1, 5,26,37,43,45,64
1, 1,27,37,42,53,61
1, 15,18,29,37,47,50
1, 5,13,31,42,43,73
1, 4,11,26,53,63,66
1, 7,32,40,43,47,87
1, 8,16,23,24,71,77
1, 3,27,34,62,81,88
1, 31,32,57,59,78,79
1, 10,15,17,57,65,80
1, 6,8,18,51,80,89
1, 33,42,46,55,69,90
1, 5,9,25,30,76,81
1, 42,45,48,56,68,83
1, 31,35,48,64,65,89
1, 15,18,35,55,64,88
1, 8,9,42,71,78,79
1, 27,44,46,50,54,69
1, 35,36,63,71,75,89
1, 15,27,31,40,63,82
1, 2,21,22,56,70,81
1, 5,11,33,51,82,85
1, 2,6,53,54,68,89
1, 17,20,27,29,72,73
1, 1,11,27,45,49,61
1, 30,56,57,73,82,84
1, 2,4,23,38,53,59
1, 12,17,27,44,72,90
1, 10,27,42,72,75,87
1, 13,35,41,44,59,79
1, 1,43,45,48,51,56
1, 8,54,62,63,66,84
1, 6,14,19,26,51,53
1, 16,38,40,69,84,90
1, 22,35,44,66,71,88
1, 4,13,18,58,71,84
1, 28,64,65,77,85,89
1, 36,52,69,71,78,84
1, 35,42,60,88,89,90
1, 20,29,44,54,64,69
1, 26,35,47,66,67,80
1, 1,5,17,38,61,71
1, 13,14,19,57,77,79
1, 10,12,54,58,72,88
1, 24,50,57,62,72,77
1, 5,27,43,50,75,90
1, 22,30,43,56,69,78
1, 12,40,42,66,73,80
1, 11,20,51,63,68,88
1, 5,7,46,65,73,82
1, 18,62,64,69,75,81
1, 1,2,8,30,42,43
1, 3,12,38,50,54,55
1, 3,20,47,52,83,90
1, 5,13,18,40,51,56
1, 24,48,50,62,63,87
1, 5,15,23,39,43,49
1, 35,52,55,61,80,83
1, 3,7,10,37,57,86
1, 2,23,35,46,47,63
1, 12,14,41,51,69,90
1, 8,13,31,42,58,88
1, 11,22,35,65,78,81
1, 20,58,65,70,77,86
1, 28,45,60,63,74,86
1, 3,15,28,76,83,86
1, 5,30,34,50,82,84
1, 18,46,63,68,73,79
1, 13,29,40,61,73,81
1, 21,41,60,69,71,83
1, 5,38,48,52,81,88
1, 5,11,22,27,36,90
1, 28,34,42,68,71,88
1, 7,8,33,39,48,84
1, 8,46,49,55,80,87
1, 13,18,19,27,50,69
1, 4,6,8,41,76,80
1, 20,40,64,68,76,90
1, 4,6,27,37,45,58
1, 8,28,35,53,57,61
1, 7,9,17,51,57,78
1, 6,7,33,53,64,90
1, 6,15,45,47,69,70
1, 7,12,24,37,58,81
1, 25,26,75,78,79,80
1, 20,24,38,42,44,79
1, 4,23,24,35,77,79
1, 43,51,54,71,73,85
1, 15,59,64,65,76,79
1, 26,65,73,76,81,90
1, 4,48,60,63,84,88
1, 14,29,34,62,65,89
1, 26,36,43,47,64,90
1, 2,10,35,67,77,90
1, 2,5,6,56,58,73
1, 41,55,72,78,83,87
1, 9,37,40,61,69,84
1, 20,49,53,63,73,84
1, 33,39,49,57,76,80
1, 11,12,27,39,67,90
1, 6,7,42,55,75,88
1, 4,26,28,59,61,68
1, 4,24,47,66,74,77
1, 14,24,40,56,81,90
1, 8,17,29,32,65,90
1, 21,32,35,40,66,83
1, 27,28,46,48,52,70
1, 11,23,38,47,57,83
1, 27,28,40,63,67,78
1, 10,25,56,68,71,77
1, 46,58,59,82,88,90
1, 1,35,37,39,57,84
1, 12,37,38,42,79,82
1, 9,17,29,37,49,68
1, 23,36,56,78,80,83
1, 3,27,30,38,43,60
1, 10,11,64,74,82,88
1, 3,13,20,35,46,58
1, 12,19,33,38,62,80
1, 12,18,39,46,56,63
1, 5,20,44,51,54,90
1, 15,17,25,39,57,58
1, 12,13,31,69,71,77
1, 7,30,43,52,57,82
1, 19,42,64,68,72,86
1, 16,21,26,64,66,78
1, 15,23,27,29,50,69
1, 5,11,21,49,54,84
1, 30,37,41,62,65,68
1, 2,4,5,9,22,75
1, 24,26,49,53,68,83
1, 20,34,44,61,74,87
1, 4,38,42,57,64,75
1, 41,48,66,81,86,87
1, 10,19,32,49,53,66
1, 6,13,26,33,34,78
1, 12,40,51,68,73,77
1, 7,21,58,65,72,77
1, 10,40,66,72,76,80
1, 3,4,7,55,61,77
1, 12,16,21,25,27,64
1, 1,5,6,39,41,70
1, 12,35,54,58,61,65
1, 5,7,13,40,52,84
1, 6,8,10,11,16,61
1, 16,21,29,39,70,90
1, 36,37,44,62,75,90
1, 26,33,43,49,61,76
1, 1,3,19,23,61,78
1, 2,25,31,38,45,84
1, 14,61,69,79,81,85
1, 9,27,45,66,68,71
1, 27,31,34,47,58,75
1, 29,37,53,62,79,85
1, 12,17,32,47,74,86
1, 17,30,38,51,77,80
1, 35,45,50,51,82,87
1, 25,34,43,57,67,77
1, 32,38,40,59,62,79
1, 1,9,11,21,36,47
1, 7,28,44,55,57,78
1, 30,32,49,53,72,84
1, 3,20,57,62,79,84
1, 8,26,39,56,78,85
1, 25,28,37,51,54,81
1, 19,37,50,73,75,85
1, 6,11,17,18,20,59
1, 13,18,32,46,55,78
1, 7,17,44,63,64,88
1, 4,40,60,71,72,90
1, 37,48,55,76,87,90
1, 13,18,26,53,54,70
1, 3,11,28,29,68,88
1, 2,34,45,47,54,74
1, 8,23,48,49,61,62
1, 14,16,32,35,41,50
1, 12,18,49,51,66,69
1, 5,20,24,48,78,80
1, 20,26,30,39,40,55
1, 2,20,32,51,53,83
1, 17,39,48,55,57,85
1, 6,27,39,43,62,84
1, 29,33,67,75,83,86
1, 33,36,61,66,83,85
1, 1,13,14,34,67,83
1, 7,18,19,56,66,71
1, 34,36,71,76,86,89
1, 13,23,31,58,67,68
1, 7,21,28,45,59,90
1, 16,33,60,61,62,63
1, 1,5,16,60,84,86
1, 5,18,55,59,65,74
1, 1,10,62,69,78,85
1, 20,46,48,62,71,86
1, 11,27,45,53,55,58
1, 23,49,52,65,67,76
1, 12,25,41,79,86,88
1, 28,41,56,75,83,90
1, 20,23,30,44,78,88
1, 4,16,27,55,67,72
1, 15,20,42,43,47,83
1, 42,55,59,61,70,73
1, 7,9,32,35,40,48
1, 9,13,31,35,45,79
1, 22,28,75,78,83,87
1, 20,23,28,51,65,81
1, 6,7,9,14,17,35
1, 40,46,49,62,77,88
1, 18,23,34,37,67,68
1, 27,36,38,41,71,84
1, 32,34,39,52,59,61
1, 8,13,27,34,47,83
1, 1,5,22,24,41,43
1, 36,45,56,79,81,90
1, 22,24,49,58,72,85
1, 7,48,53,59,70,76
1, 1,23,38,50,60,77
1, 3,25,26,29,48,79
1, 24,28,54,68,78,81
1, 11,14,17,35,43,70
1, 22,39,45,53,74,86
1, 5,34,43,53,71,78
1, 41,43,53,65,67,80
1, 14,15,64,76,80,86
1, 10,11,16,45,46,55
1, 11,21,40,66,68,83
1, 3,9,13,25,42,81
1, 6,9,29,41,50,90
1, 5,6,17,55,62,73
1, 2,26,34,58,80,81
1, 23,50,54,56,78,83
1, 6,32,48,53,54,87
1, 6,8,24,28,36,63
1, 4,23,56,71,76,78
1, 1,38,70,75,83,86
1, 21,23,25,27,36,84
1, 8,53,65,66,80,87
1, 17,24,34,59,72,82
1, 8,22,36,43,76,77
1, 14,32,56,72,78,79
1, 1,2,8,12,48,66
1, 35,49,56,78,87,90
1, 35,54,78,81,86,88
1, 8,36,49,59,70,87
1, 3,5,10,32,44,75
1, 22,25,26,49,59,85
1, 11,17,47,57,79,86
1, 9,17,30,37,40,46
1, 15,26,35,39,53,59
1, 3,11,16,38,69,82
1, 7,71,72,75,80,90
1, 66,72,76,77,81,85
1, 17,23,30,74,81,84
1, 7,19,39,45,48,86
1, 1,4,21,56,69,75
1, 1,6,31,45,58,85
1, 1,37,69,74,77,89
1, 19,25,42,51,55,56
1, 13,30,46,48,70,88
1, 12,14,17,32,50,58
1, 5,11,40,43,56,82
1, 32,36,43,56,66,89
1, 15,28,42,55,76,88
1, 6,31,58,64,74,82
1, 12,23,49,53,67,83
1, 5,14,17,38,64,68
1, 40,41,62,65,89,90
1, 10,36,63,75,79,85
1, 30,38,52,63,74,89
1, 34,38,53,60,72,88
1, 2,3,64,69,73,82
1, 23,26,34,56,66,85
1, 25,55,57,67,69,86
1, 36,48,56,65,71,73
1, 7,9,16,24,32,40
1, 3,10,18,42,67,90
1, 10,16,20,26,48,56
1, 6,34,59,61,83,90
1, 25,32,44,56,77,87
1, 39,45,49,66,75,80
1, 8,15,24,25,44,55
1, 23,25,37,38,50,86
1, 3,5,11,14,38,79
1, 23,27,43,56,71,75
1, 38,43,44,45,63,77
1, 14,30,33,35,58,76
1, 24,34,64,66,68,72
1, 40,44,62,76,85,90
1, 23,36,38,52,62,63
1, 7,12,19,43,71,77
1, 13,39,62,63,66,76
1, 2,3,13,23,30,70
1, 12,51,56,73,85,88
1, 5,24,51,76,77,79
1, 3,27,48,58,78,90
1, 10,22,39,55,81,89
1, 28,31,40,67,74,90
1, 23,58,64,67,79,81
1, 8,21,24,42,72,73
1, 10,17,33,38,67,71
1, 31,49,54,57,80,88
1, 6,19,30,53,55,76
1, 8,22,36,48,53,55
1, 28,49,50,54,66,68
1, 7,41,56,61,68,84
1, 9,24,56,68,80,86
1, 35,47,54,68,71,78
1, 50,52,54,76,77,86
1, 22,27,48,52,81,83
1, 3,6,10,26,43,72
1, 44,53,61,65,86,89
1, 8,33,42,44,48,89
1, 11,18,47,80,89,90
1, 11,35,58,64,68,72
1, 1,17,33,34,46,62
1, 6,19,25,42,48,52
1, 2,22,37,46,57,74
1, 15,18,47,70,74,89
1, 19,61,62,65,85,89
1, 19,32,34,63,74,89
1, 12,27,31,32,57,83
1, 8,14,20,36,45,85
1, 25,40,57,59,76,82
1, 12,14,29,48,49,85
1, 14,30,64,75,79,89
1, 16,19,24,37,63,85
1, 4,26,34,61,76,81
1, 16,17,49,50,74,81
1, 21,31,37,64,75,88
1, 18,28,35,52,57,75
1, 2,27,52,65,70,82
1, 2,7,24,56,82,85
1, 7,27,28,45,57,75
1, 8,21,32,33,60,69
1, 29,48,49,54,75,87
1, 5,49,71,83,85,88
1, 1,13,14,25,72,86
1, 6,37,62,73,79,90
1, 2,11,21,23,39,47
1, 22,29,30,32,41,52
1, 5,34,44,73,77,83
1, 27,29,39,54,59,74
1, 11,22,42,49,58,89
1, 20,46,50,52,69,86
1, 11,13,20,41,76,89
1, 12,26,27,47,63,77
1, 4,52,68,79,85,86
1, 19,23,29,44,69,89
1, 28,32,46,49,85,87
1, 8,13,16,17,49,68
1, 3,29,51,55,73,81
1, 26,68,73,75,76,86
1, 8,41,60,70,73,85
1, 2,12,20,52,54,63
1, 16,19,20,30,31,47
1, 24,33,37,40,60,86
1, 36,38,39,66,76,83
1, 3,19,33,36,72,84
1, 17,22,54,69,82,88
1, 3,14,31,32,64,79
1, 21,40,76,77,83,84
1, 3,16,22,39,49,71
1, 7,10,22,23,41,77
1, 7,19,27,54,64,78
1, 11,16,54,56,57,82
1, 4,24,62,66,76,84
1, 2,3,22,46,61,80
1, 9,25,29,43,48,54
1, 10,11,12,24,56,71
1, 5,42,51,66,69,74
1, 5,22,40,46,86,87
1, 6,16,28,32,43,90
1, 13,14,40,66,79,85
1, 6,28,39,46,60,78
1, 12,13,28,30,47,63
1, 6,10,19,71,72,89
1, 21,31,33,40,50,52
1, 3,12,13,15,43,46
1, 8,19,27,43,51,79
1, 2,16,38,40,44,57
1, 16,40,50,58,62,63
1, 28,30,65,74,77,83
1, 29,31,51,60,72,73
1, 18,37,40,45,54,56
1, 4,15,25,39,45,79
1, 4,16,40,57,71,84
1, 2,55,76,78,81,85
1, 7,8,10,45,49,53
1, 1,35,42,55,57,62
1, 44,56,57,76,86,88
1, 4,24,30,61,66,69
1, 19,35,49,52,75,79
1, 31,33,61,77,86,88
1, 41,46,64,71,84,87
1, 9,20,33,48,55,84
1, 6,7,16,51,62,83
1, 12,38,65,72,83,84
1, 19,32,41,42,64,65
1, 7,11,21,34,69,88
1, 34,40,42,64,77,88
1, 10,19,32,44,56,76
1, 14,42,53,68,83,89
1, 6,9,10,20,60,83
1, 21,29,43,53,66,89
1, 19,26,63,67,68,83
1, 6,27,37,38,47,79
1, 1,31,51,73,77,88
1, 1,6,13,24,46,89
1, 25,60,62,68,83,89
1, 19,48,49,56,60,88
1, 10,41,52,53,61,88
1, 7,30,47,76,83,89
1, 19,32,41,42,67,77
1, 3,25,43,55,72,80
1, 1,63,67,71,75,79
1, 5,10,34,48,56,87
1, 20,39,42,45,74,77
1, 31,58,80,81,88,89
1, 29,31,35,49,69,74
1, 13,14,22,24,46,81
1, 6,28,46,55,56,62
1, 22,68,75,83,85,89
1, 9,10,26,30,44,54
1, 10,21,22,43,61,66
1, 41,44,55,56,68,79
1, 15,19,30,46,47,71
1, 19,38,60,80,81,90
1, 25,44,45,52,68,81
1, 10,12,29,41,45,50
1, 1,3,20,43,51,78
1, 2,22,28,39,61,79
1, 2,22,33,42,52,71
1, 1,22,41,69,73,89
1, 29,37,50,62,70,86
1, 16,24,51,55,59,66
1, 29,42,45,58,67,86
1, 4,11,32,51,66,81
1, 3,14,30,50,66,87
1, 13,16,23,52,67,78
1, 1,27,40,81,82,85
1, 14,31,34,78,89,90
1, 4,19,20,24,44,55
1, 25,32,46,58,74,79
1, 20,31,45,62,76,81
1, 1,20,22,23,61,82
1, 23,33,78,79,87,88
1, 5,29,35,39,41,45
1, 21,39,44,49,65,87
1, 36,42,63,77,81,86
1, 6,12,23,28,77,79
1, 17,25,41,45,57,82
1, 3,33,63,71,78,79
1, 29,56,66,77,88,89
1, 18,28,33,41,63,84
1, 12,23,54,68,84,89
1, 12,23,32,35,52,55
1, 3,7,11,35,69,85
1, 1,4,14,30,78,82
1, 30,37,41,45,47,57
1, 6,13,34,52,63,83
1, 10,32,46,61,70,75
1, 1,18,34,39,48,64
1, 16,19,44,60,76,89
1, 28,30,32,33,34,52
1, 3,17,43,54,75,79
1, 14,53,55,65,83,87
1, 8,58,76,81,85,87
1, 11,41,52,71,81,89
1, 3,17,18,41,63,89
1, 15,25,34,54,70,88
1, 29,53,54,72,76,90
1, 8,27,39,51,54,90
1, 13,43,47,55,67,70
1, 16,31,41,61,65,77
1, 6,33,57,61,80,83
1, 22,26,27,28,72,73
1, 14,15,20,42,70,88
1, 43,56,61,62,73,81
1, 2,38,39,41,61,76
1, 22,42,47,62,70,72
1, 14,25,28,42,82,90
1, 9,34,57,72,84,88
1, 3,5,13,54,58,85
1, 17,19,35,39,40,51
1, 7,37,44,45,53,68
1, 17,24,25,40,58,64
1, 20,21,26,53,80,90
1, 7,19,37,51,53,74
1, 19,21,28,50,53,62
1, 36,55,59,81,82,89
1, 23,37,41,51,62,74
1, 50,55,57,62,78,83
1, 10,25,35,83,87,90
1, 11,12,32,55,72,87
1, 12,20,23,34,67,87
1, 10,13,21,31,48,72
1, 13,14,20,22,44,88
1, 4,9,24,64,74,76
1, 15,31,39,49,64,85
1, 14,20,35,45,48,66
1, 29,37,49,51,55,74
1, 10,17,50,65,75,86
